id;codigo;nombre;descripcion;impacto;probabilidad;respuesta;fundamento;tipo_riesgo_id;area_id;user_id;mayor_criticidad
152;;Falta de información precisa y actualizada de los hallazgos (4);La ausencia de información sobre los hallazgos no permitiría ideantificar los focos de mejora y riesgo, ignorando las áreas/ gerencias con mayor concentración de hallazgos, lo que originaría una asignanción de recursos inadecuada e ineficiente a la hora de planificar las auditorías;4;3;mitigar;;1;UAI;Castiglioni;NO
153;;Cambios en Órgano de Gobierno/Alta Dirección;Cambios de los integrantes del Órgano de Gobierno y/o Alta Dirección, que pueda afectar al apoyo hacia la implementación de los elementos del Programa de Integridad y facilitar actos de corrupción;7;8;mitigar;;7;FC;Mercapidez;NO
154;;Fondos públicos en campañas políticas;Riesgo de usar fondos públicos al efectuar aportes personales a campañas políticas.;4;8;mitigar;;7;FC;Mercapidez;NO
155;;Uso indebido donaciones realizadas;Riesgo de donar a entidades que hagan uso indebido de la donación.;4;2;mitigar;;7;FC;Mercapidez;NO
156;;Riesgo de no poder realizar el seguimiento y relevamiento mediático de acontecimientos  en los que pudiera estar involucrada la empresa, en la medida en que los gerentes y/o responsables de área no informen a Prensa.;Riesgo de no poder realizar el seguimiento y relevamiento mediático de acontecimientos  en los que pudiera estar involucrada la empresa, en la medida en que los gerentes y/o responsables de área no informen a Prensa.;6;7;mitigar;;1;PRE;Aversa;NO
157;;Riesgo de no poder gestionar la organización de eventos por no contar con Misiones y Funciones documentadas y aprobadas por el Directorio.                                              ;Riesgo de no poder gestionar la organización de eventos por no contar con Misiones y Funciones documentadas y aprobadas por el Directorio.                                              ;5;5;mitigar;;1;PRE;Aversa;NO
158;;Riesgo de cumplimiento del objetivo, por no contar con procedimientos administrativos-contables para tal efecto. ;Riesgo de cumplimiento del objetivo, por no contar con procedimientos administrativos-contables para tal efecto. ;5;5;mitigar;;1;PRE;Aversa;NO
159;;Riesgo de perder la periodicidad en las comunicaciones que repercute negativamente en la imagen que el empleado proyecta sobre la empresa.;Riesgo de perder la periodicidad en las comunicaciones que repercute negativamente en la imagen que el empleado proyecta sobre la empresa.;5;5;mitigar;;1;PRE;Aversa;NO
160;;Retraso en la implementacion de los planes de acción asociados a No Conformidades ;Retraso en la implementacion de los planes de acción asociados a No Conformidades ;1;6;mitigar;;1;UAI;Castiglioni;NO
161;;Recurrencia de la No conformidad por acciones correctivas implementadas ineficaces;;3;5;mitigar;;1;UAI;Castiglioni;NO
162;;Recursos Humanos con conocimientos y habilidades insuficientes en el marco legal anticorrupcion;;4;4;mitigar;;1;UAI;Castiglioni;NO
163;;Recursos humanos limitados en la ejecución de las auditorías;;4;3;mitigar;;1;UAI;Castiglioni;NO
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
